Dates,traded_dollars,asset_turnover,signal_change_day,nonzero_rebalance_day,BRL_traded_dollars,AUD_traded_dollars,BCOM_traded_dollars,XAU_traded_dollars
2002-10-01,421721.65083103254,0.004104766699104859,False,True,0.0,92036.39375171438,92971.97016819566,236713.2869111225
2002-10-02,362709.84370268136,0.003537055903657482,False,True,0.0,40247.030857201666,116882.67110561207,205580.14173986763
2002-10-03,202024.5027701445,0.0019631686143452543,False,True,0.0,20567.58424956724,55803.476938877255,125653.4415817
2002-10-04,723172.5016579255,0.007072309859321298,False,True,0.0,228095.92690667138,443247.11421971396,51829.460531540215
2002-10-07,159243.93292545527,0.00155714489212292,False,True,0.0,36637.78269776702,78054.78835169226,44551.36187599599
2002-10-08,144937.65561598912,0.00141399588972828,False,True,0.0,90896.67773229629,11017.622405096889,43023.35547859594
2002-10-09,490353.30248920247,0.0048007904270666365,False,True,0.0,47168.515653353184,199919.44183129072,243265.34500455856
2002-10-10,224354.49175461382,0.002192958780342304,False,True,0.0,30240.780228909105,91347.94703067839,102765.76449502632
2002-10-11,297191.86423478276,0.002920180299972017,False,True,0.0,81720.7921314612,93494.4275057055,121976.64459761605
2002-10-14,319814.9333180003,0.00313001643999915,False,True,0.0,14893.784568801522,195639.51662797853,109281.63212122023
2002-10-15,480787.65297965705,0.004694513871195991,False,True,0.0,210639.84723436832,232882.19678946584,37265.608955822885
2002-10-16,669450.8312349133,0.006539998491141884,False,True,0.0,43628.68698334694,284564.9644462764,341257.17980528995
2002-10-17,197477.5760868676,0.0019272595745026633,False,True,0.0,55726.721442997456,85870.87699595094,55879.97764791921
2002-10-18,466881.0573603958,0.004558727988862493,False,True,0.0,75107.16888123378,151994.11518366635,239779.77329549566
2002-10-21,323748.5697996579,0.00316174356813245,False,True,0.0,39588.92262932658,164272.32439252362,119887.32277780771
2002-10-22,538475.132932175,0.005271203920089127,False,True,0.0,239053.3966410011,220687.8801684603,78733.85612271354
2002-10-23,351332.7268210016,0.0034410135013528366,False,True,0.0,58437.9515677467,123801.2200492099,169093.55520404503
2002-10-24,245871.36361050978,0.002406425628074608,False,True,0.0,6497.582402702421,131851.21987696737,107522.56133083999
2002-10-25,159214.19717332348,0.0015563743709995298,False,True,0.0,95267.91509955004,8059.931256655604,55886.35081711784
2002-10-28,440404.4319545515,0.004307330343207077,False,True,0.0,19865.87053694576,226802.4055280164,193736.15588958934
2002-10-29,184868.639780242,0.0018023518215699006,False,True,0.0,67877.97691576555,51753.1109213233,65237.55194315314
2002-10-30,311732.56727001444,0.003043814460937671,False,True,0.0,91996.50912811235,83330.10204599053,136405.95609591156
2002-10-31,271170.0074512325,0.002650450166640506,False,True,0.0,110005.54148202762,122562.89262339473,38601.573345810175
2002-11-01,25743590.47331943,0.25080794536296735,True,True,0.0,11582.033011347055,16697.31300367415,25715311.12730441
2002-11-04,269888.5736395605,0.002625344682095378,False,True,0.0,174582.50004333258,95306.07359622791,0.0
2002-11-05,249133.01177087054,0.0024273085233198458,False,True,0.0,83656.18682904169,165476.82494182885,0.0
2002-11-06,293092.807532575,0.0028593141714237207,False,True,0.0,113303.49735013768,179789.3101824373,0.0
2002-11-07,41190.42787953839,0.0004019872670277445,False,True,0.0,11198.523056965321,29991.904822573066,0.0
2002-11-08,301135.7527387552,0.002937474108606466,False,True,0.0,162619.34964268655,138516.40309606865,0.0
2002-11-11,53977.0856279321,0.000527082668175012,False,True,0.0,49846.7466706112,4130.338957320899,0.0
2002-11-12,144737.27614346147,0.001415296289142425,False,True,0.0,107577.2077373676,37160.068406093866,0.0
2002-11-13,25500080.358990066,0.24956596456570027,True,True,0.0,15520.728959400207,25484559.630030666,0.0
2002-11-14,25553.70195291564,0.00025017417378318227,False,True,0.0,25553.70195291564,0.0,0.0
2002-11-15,111385.59596319124,0.0010888967159973474,False,True,0.0,111385.59596319124,0.0,0.0
2002-11-18,25602528.630689442,0.2502161484748386,True,True,0.0,22116.66812580079,0.0,25580411.96256364
2002-11-19,83542.97016691044,0.0008174642363035178,False,True,0.0,10786.16920787841,0.0,72756.80095903203
2002-11-20,204949.76832873374,0.0020104006360131795,False,True,0.0,165716.75536794215,0.0,39233.01296079159
2002-11-21,172213.73080649227,0.0016893444548022043,False,True,0.0,85211.71172294393,0.0,87002.01908354834
2002-11-22,137109.41868315265,0.0013436014698592254,False,True,0.0,94814.03990608454,0.0,42295.37877706811
2002-11-25,211706.06525539234,0.002067833380785818,False,True,0.0,22246.782629478723,0.0,189459.28262591362
2002-11-26,205197.1046970226,0.0020123237099570644,False,True,0.0,76598.17974647135,0.0,128598.92495055124
2002-11-27,17288.99395634234,0.00016949195703256688,False,True,0.0,9907.995633527637,0.0,7380.998322814703
2002-11-28,139208.59485105798,0.001368461010082091,False,True,0.0,80646.0261380747,0.0,58562.56871298328
2002-11-29,25633541.294050667,0.2513199546653698,True,True,25498911.66439757,113626.34965871647,0.0,21003.27999437973
2002-12-02,530021.3791684434,0.005213788460937293,False,True,307262.75000875816,114187.57894355804,0.0,108571.05021612719
2002-12-03,327127.714147646,0.0032123517610065794,False,True,185652.3019286394,73333.97037022561,0.0,68141.44184878096
2002-12-04,525423.4954434074,0.00516370569940558,False,True,240643.6948010847,32212.286738350987,0.0,252567.51390397176
2002-12-05,448956.75547748804,0.004414867180303988,False,True,232124.03380923346,90509.09666096047,0.0,126323.62500729412
2002-12-06,802511.8823353797,0.007912159111869316,False,True,434299.2185401097,104834.43860590085,0.0,263378.2251893692
2002-12-09,328838.1136043519,0.003227166400529874,False,True,215394.68725275248,105770.96667048335,0.0,7672.4596811160445
2002-12-10,377503.6638527252,0.0037130848722226883,False,True,217300.02234341204,122627.73138709739,0.0,37575.91012221575
