Dates,start_nav,end_nav,BRL_weight,AUD_weight,BCOM_weight,XAU_weight,BRL_dollar,AUD_dollar,BCOM_dollar,XAU_dollar,Cash_dollar,strategy_return,gross_leverage,active_signals
2024-01-10,225986314.30721,226049177.14263391,0.25,0.25,0.0,0.25,56496578.5768025,56496578.5768025,0.0,56496578.5768025,56496578.5768025,0.00027817098401106133,0.75,3.0
2024-01-11,226049177.14263391,226058436.70100138,0.25,0.25,0.0,0.25,56512294.28565848,56512294.28565848,0.0,56512294.28565848,56512294.28565848,4.096258382568774e-05,0.75,3.0
2024-01-12,226058436.70100138,227287402.31866223,0.25,0.25,0.0,0.25,56514609.175250344,56514609.175250344,0.0,56514609.175250344,56514609.175250344,0.005436495251386675,0.75,3.0
2024-01-15,227287402.31866223,226824501.33678803,0.25,0.25,0.0,0.25,56821850.57966556,56821850.57966556,0.0,56821850.57966556,56821850.57966556,-0.002036632814453876,0.75,3.0
2024-01-16,226824501.33678803,225142352.84748718,0.25,0.25,0.0,0.25,56706125.33419701,56706125.33419701,0.0,56706125.33419701,56706125.33419701,-0.007416079300900574,0.75,3.0
2024-01-17,225142352.84748718,223679622.6820348,0.25,0.25,0.0,0.25,56285588.211871795,56285588.211871795,0.0,56285588.211871795,56285588.211871795,-0.006496912495372403,0.75,3.0
2024-01-18,223679622.6820348,224278949.7782236,0.25,0.25,0.0,0.25,55919905.6705087,55919905.6705087,0.0,55919905.6705087,55919905.6705087,0.002679399620772599,0.75,3.0
2024-01-19,224278949.7782236,224887399.47659332,0.25,0.25,0.0,0.25,56069737.4445559,56069737.4445559,0.0,56069737.4445559,56069737.4445559,0.002712914872177563,0.75,3.0
2024-01-22,224887399.47659332,224280134.24367768,0.25,0.25,0.0,0.25,56221849.86914833,56221849.86914833,0.0,56221849.86914833,56221849.86914833,-0.0027003079511301875,0.75,3.0
2024-01-23,224280134.24367768,224152836.79145688,0.25,0.25,0.0,0.25,56070033.56091942,56070033.56091942,0.0,56070033.56091942,56070033.56091942,-0.0005675823792867518,0.75,3.0
2024-01-24,224152836.79145688,224684480.01763898,0.25,0.25,0.0,0.25,56038209.19786422,56038209.19786422,0.0,56038209.19786422,56038209.19786422,0.0023717889712755735,0.75,3.0
2024-01-25,224684480.01763898,224748590.10000437,0.25,0.25,0.0,0.25,56171120.004409745,56171120.004409745,0.0,56171120.004409745,56171120.004409745,0.0002853338261741556,0.75,3.0
2024-01-26,224748590.10000437,224760895.77094957,0.0,0.25,0.0,0.25,0.0,56187147.525001094,0.0,56187147.525001094,112374295.05000219,5.475305068544656e-05,0.5,2.0
2024-01-29,224760895.77094957,225193851.90308112,0.0,0.25,0.0,0.25,0.0,56190223.94273739,0.0,56190223.94273739,112380447.88547479,0.0019262965234521645,0.5,2.0
2024-01-30,225193851.90308112,225185442.35320413,0.0,0.25,0.0,0.25,0.0,56298462.97577028,0.0,56298462.97577028,112596925.95154056,-3.734360332627307e-05,0.5,2.0
2024-01-31,225185442.35320413,225500819.9803488,0.0,0.25,0.0,0.25,0.0,56296360.58830103,0.0,56296360.58830103,112592721.17660207,0.001400524047420304,0.5,2.0
2024-02-01,225500819.9803488,225378689.83331272,0.0,0.25,0.0,0.25,0.0,56375204.9950872,0.0,56375204.9950872,112750409.9901744,-0.0005415951349831416,0.5,2.0
2024-02-02,225378689.83331272,224961106.60344768,0.0,0.0,0.0,0.25,0.0,0.0,0.0,56344672.45832818,169034017.37498453,-0.0018528070696207377,0.25,1.0
2024-02-05,224961106.60344768,224557176.7033932,0.0,0.0,0.0,0.25,0.0,0.0,0.0,56240276.65086192,168720829.95258576,-0.0017955543789465456,0.25,1.0
2024-02-06,224557176.7033932,224862945.9775361,0.0,0.0,0.0,0.25,0.0,0.0,0.0,56139294.1758483,168417882.5275449,0.001361654428648329,0.25,1.0
2024-02-07,224862945.9775361,224841410.97774947,0.0,0.0,0.0,0.25,0.0,0.0,0.0,56215736.49438403,168647209.4831521,-9.576944610883986e-05,0.25,1.0
2024-02-08,224841410.97774947,224818212.7738419,0.0,0.0,0.0,0.25,0.0,0.0,0.0,56210352.74443737,168631058.2333121,-0.00010317585095509507,0.25,1.0
2024-02-09,224818212.7738419,224534775.54257116,0.0,0.0,0.0,0.25,0.0,0.0,0.0,56204553.19346047,168613659.58038142,-0.0012607396339185672,0.25,1.0
2024-02-12,224534775.54257116,224418030.23749247,0.0,0.0,0.0,0.25,0.0,0.0,0.0,56133693.88564279,168401081.65692836,-0.0005199430903145008,0.25,1.0
2024-02-13,224418030.23749247,224418030.23749247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224418030.23749247,0.0,0.0,0.0
2024-02-14,224418030.23749247,224418030.23749247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224418030.23749247,0.0,0.0,0.0
2024-02-15,224418030.23749247,224418030.23749247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224418030.23749247,0.0,0.0,0.0
2024-02-16,224418030.23749247,224418030.23749247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224418030.23749247,0.0,0.0,0.0
