Dates,trend_ret,bench_ret,mix10_ret,trend_nav,bench_nav,mix10_nav
2002-08-23,-0.0005188511028874,-0.0119485926858248,-0.01080561852753106,101429338.1162028,92548535.30156608,93462373.61691937
2002-08-26,0.0024998144850104,0.0050394394414858,0.00478547694583826,101682892.6448307,93014928.04061654,93909635.65116645
2002-08-27,-0.001128896760204,-0.0100037979177016,-0.009116307801951842,101568103.15675578,92084425.49716866,93053526.50700127
2002-08-28,-0.0018662369166765,-0.009409641965838,-0.00865530146092185,101378553.01308782,91217944.02261043,92248120.1830813
2002-08-29,-0.000354920802028,0.0013445646532796,0.00117461610774884,101342571.65574399,91340592.44588807,92356476.3109579
2002-08-30,0.0012737505486925,-0.0005473049250286,-0.00036519937765649004,101471656.81199642,91290601.2897874,92322747.78328659
2002-09-02,0.0,0.0,0.0,101471656.81199642,91290601.2897874,92322747.78328659
2002-09-03,-0.0032567010590675,-0.0212576691576094,-0.01945757234775521,101141193.95979144,89349975.89036988,90526371.23894972
2002-09-04,0.003215730237198,0.0111631363283531,0.010368395719237592,101466436.75543426,90347401.85216913,91464984.47898176
2002-09-05,0.003455495442081,-0.0084822720444709,-0.00728849529581571,101817053.56516683,89581050.6111479,90798342.36987485
2002-09-06,0.002303677612101,0.0071105208816344,0.00662983655468106,102051607.231995,90218018.54211722,91400320.5392231
2002-09-09,0.0039522141167455,0.0059826242199426,0.00577958320962289,102454937.03473385,90757759.04492252,91928576.29716574
2002-09-10,0.0005284717993561,0.0053630294386049,0.00487957367468002,102509081.57966152,91244495.57846224,92377148.5580162
2002-09-11,0.000112353028195,-0.001451436923429,-0.0012950579282666002,102520598.78539447,91112059.94852002,92257514.79938547
2002-09-12,-0.0024381353283259,-0.0127669279912248,-0.01173404872493491,102270639.69161467,89948838.8400251,91174960.62548809
2002-09-13,0.0013573589409907,0.0034722717952463,0.0032607805098207403,102409457.65880094,90261165.65614447,91472262.16007936
2002-09-16,3.407384012649173e-05,0.0015766587992689,0.0014224003033546592,102412947.14228866,90403476.7172085,91602372.3335244
2002-09-17,0.000511171694536,-0.0115938785170697,-0.01038337349590913,102465297.74202181,89355349.79062843,90651230.68847409
2002-09-18,0.0031411374463073,-0.0026880684853934,-0.0021051478922233303,102787155.3257063,89115156.49085493,90460396.4412628
2002-09-19,0.0015873446227281,-0.0165926500228467,-0.014774650558289222,102950313.96399808,87636499.88747096,89123875.69447884
2002-09-20,-0.0021454151991076,0.0011743059355433,0.00084233382207821,102729442.7956668,87739411.94945906,89198947.749331
2002-09-23,0.0007996096019139,-0.0063502672195308,-0.00563527953738633,102811586.24452546,87182243.2378955,88696286.74432279
2002-09-24,0.0019978307633452,-0.0096368322988017,-0.00847336599258701,103016986.3943531,86342082.58037856,87944730.6445547
2002-09-25,-0.0046706117210095,0.012646510165939,0.01091479797724415,102535834.05023657,87434008.60547966,88904629.61270317
2002-09-26,-0.0004463055643444,0.010964433436042,0.00982335953600336,102490071.73695524,88392672.97288077,89777971.75380397
2002-09-27,0.0004156683921507,-0.0177490164828993,-0.0159325479953943,102532673.62028556,86823789.96331757,88347579.90990733
2002-09-30,0.002017110104149,-0.0069701328232566,-0.0060714085305160394,102739493.31225045,86218616.61505471,87811185.65959187
2002-10-01,-0.0018863413947273,0.0221142519892167,0.0197141926508223,102545691.55314223,88125276.8290417,89542312.29058218
2002-10-02,0.0035269175144437,-0.0137834720232353,-0.0120524330694674,102907361.74871175,86910604.54132874,88463109.5648146
2002-10-03,-0.0063483009963977,-0.0064167542067902,-0.00640990888575095,102254074.84158576,86352920.55402349,87896069.09275393
2002-10-04,0.0001226105160861,-0.0134232904110798,-0.01206870031836321,102266612.26647398,85193780.22358193,86835277.77571136
2002-10-07,0.0023034280046494,-0.0105450136048559,-0.00926016944390537,102502176.04510921,84295410.65207516,86031168.38979967
2002-10-08,-0.00353219501552,0.0100642120541345,0.00870457134716905,102140118.36980273,85143777.54006799,86780032.83312899
2002-10-09,0.0016314293877126,-0.0148196282563509,-0.01317452249194455,102306752.76057565,83881978.40858275,85636747.33871725
2002-10-10,-0.0052293822787971,0.0198089666303174,0.01730513173940595,101771751.64068824,85543593.71976337,87118702.53314799
2002-10-11,0.003979558863565,0.0207833978485813,0.019103013950079673,102176758.31699046,87321480.26143862,88782932.32295154
2002-10-14,0.0023296083959256,0.0043970049386648,0.00419026528439088,102414790.1510342,87705433.24139969,89154956.36211082
2002-10-15,-0.0005102203834585,0.0242887410439574,0.02180884490121581,102362536.03753151,89835687.79754813,91099322.97758676
2002-10-16,0.0010056734852889,-0.0150240386562695,-0.01342106744211366,102465479.32591137,88485992.95136522,89876672.81997366
2002-10-17,-0.000494936999817,0.0115509878625125,0.010346395376279549,102414765.36898899,89508093.5819488,90806572.41207363
2002-10-18,-0.0001873198251488,0.0034542031714359,0.00309005087177743,102395581.05304742,89817272.72266875,91087169.34031868
2002-10-21,-0.0023582400345536,0.0090133960697759,0.007876232459342951,102154107.69444674,90626831.37562524,91804593.06010656
2002-10-22,-0.0005147366742109,-0.0068335046114343,-0.00620162781771196,102101525.22879513,90007532.50550023,91235255.14199127
2002-10-23,0.0006985625769437,0.0041379714382206,0.0037940305520929103,102172849.53336884,90379981.1042327,91581404.48742798
2002-10-24,0.0012262213755939,-0.0073043166681804,-0.006451262863802969,102298136.065472,89719817.10178322,90990588.77364331
2002-10-25,-0.000516153259842,0.0115822090725402,0.010372372839301982,102245334.54906604,90758970.78140613,91934377.08527115
2002-10-28,0.0031830271100951,-0.0044539794255949,-0.0036902787720259,102570784.22081645,90354732.19285758,91595113.60509394
2002-10-29,-0.0015178066687838,-0.0023274213757616,-0.00224645990506382,102415101.60050371,90144438.65775071,91389348.85488033
2002-10-30,-0.0010172024163406,0.0055800487655572,0.004920323647367421,102310924.7116859,90647449.02140474,91839014.0291685
2002-10-31,0.0032422597267169,-0.0021777077941102,-0.00163571104202749,102642643.30248179,90450045.36515462,91688791.93983208
2002-11-01,0.0015447074217189,0.0093221584085119,0.008544413309832601,102801196.15537597,91293235.0161057,92472218.87404527
2002-11-04,-0.0015918226863648,0.0037460537386424,0.0032122660961416798,102637554.8791504,91635224.38045053,92769264.24756937
2002-11-05,-0.0012955455322485,0.0041489681400473,0.0036045167728177203,102504583.25348581,92015416.0069111,93103652.6165517
