Dates,method1_strategy_return,method1_nav,benchmark_strategy_return,benchmark_nav,spxt_level,luattruu_level,spxt_return,luattruu_return,method1_gross_leverage,method1_active_signals
2024-02-02,-0.0018528070696207,224961106.60344768,0.0026867581048388,458816924.6478343,10747.25,2262.06,0.0107315430813477,-0.0093804193599243,0.25,1.0
2024-02-05,-0.0017955543789465,224557176.7033932,-0.0047989142425175,456615101.5734337,10713.11,2245.7,-0.0031766265788921,-0.0072323457379557,0.25,1.0
2024-02-06,0.0013616544286483,224862945.9775361,0.0030422012812739,458004216.6204894,10738.17,2254.9,0.0023391900204514,0.0040967181725075,0.25,1.0
2024-02-07,-9.576944610883986e-05,224841410.97774947,0.0043762769795246,460008569.9302109,10826.81,2251.65,0.0082546653666313,-0.0014413056011353,0.25,1.0
2024-02-08,-0.000103175850955,224818212.7738419,-0.0006226085764317,459722164.6493402,10834.36,2245.79,0.0006973429846834,-0.0026025359181045,0.25,1.0
2024-02-09,-0.0012607396339185,224534775.54257116,0.0031518662152704,461171147.4085095,10897.61,2243.82,0.005837908284384,-0.0008771968883999,0.25,1.0
2024-02-12,-0.0005199430903145,224418030.23749247,-0.0002371443252591,461061783.28792834,10887.41,2245.64,-0.0009359850462624,0.0008111167562458,0.25,1.0
2024-02-13,0.0,224418030.23749247,-0.0114917834045806,455763361.13825375,10739.81,2226.79,-0.0135569432950536,-0.0083940435688711,0.0,0.0
2024-02-14,0.0,224418030.23749247,0.0070160233853016,458961007.53816336,10844.72,2233.22,0.0097683292348746,0.002887564610942,0.0,0.0
2024-02-15,0.0,224418030.23749247,0.0043453169770547,460955338.59602505,10910.31,2237.22,0.006048104515377,0.0017911356695712,0.0,0.0
2024-02-16,0.0,224418030.23749247,-0.0039367296152576,459140682.06326294,10859.63,2230.79,-0.0046451475714255,-0.0028741026810058,0.0,0.0
2024-02-19,0.0,224418030.23749247,0.0,459140682.06326294,10859.63,2230.79,0.0,0.0,0.0,0.0
2024-02-20,0.0,224418030.23749247,-0.002952516540066,457785061.60525393,10794.8,2234.3,-0.0059698166512118,0.0015734336266526,0.0,0.0
2024-02-21,0.0,224418030.23749247,-0.0002690908161631,457661875.84939927,10808.93,2228.41,0.0013089635750547,-0.0026361724029898,0.0,0.0
2024-02-22,0.0,224418030.23749247,0.0127468904995106,463495641.66665226,11037.82,2228.64,0.0211760090961825,0.0001032126045028,0.0,0.0
2024-02-23,0.0,224418030.23749247,0.0017276340265442,464296392.5083505,11041.9,2237.03,0.0003696382075446,0.0037646277550436,0.0,0.0
2024-02-26,0.0,224418030.23749247,-0.0026680247505931,463057638.2415271,11000.5,2234.69,-0.0037493547306169,-0.0010460297805573,0.0,0.0
2024-02-27,0.0,224418030.23749247,0.0003385404643679,463214401.98940647,11019.44,2230.81,0.0017217399209126,-0.001736258720449,0.0,0.0
2024-02-28,0.0,224418030.23749247,0.000138930788529,463278756.7315329,11002.2,2236.82,-0.0015645078152791,0.0026940886942412,0.0,0.0
2024-02-29,0.0,224418030.23749247,0.0039985602120705,465131204.735297,11062.11,2240.91,0.0054452745814472,0.0018284886580053,0.0,0.0
2024-03-01,0.0,224418030.23749247,0.0063534346280509,468086385.4380493,11151.34,2249.39,0.0080662730708698,0.0037841769638227,0.0,0.0
2024-03-04,0.0,224418030.23749247,-0.0013632507568833,467448266.3188141,11138.43,2245.63,-0.0011577084009634,-0.0016715642907632,0.0,0.0
2024-03-05,0.0,224418030.23749247,-0.0041956540999764,465487015.08370674,11025.16,2256.33,-0.0101692967500806,0.0047648098751797,0.0,0.0
2024-03-06,0.0023660269543805,224949009.3460834,0.0037863672899337,467249519.8915086,11082.65,2260.04,0.005214436797289,0.0016442630289008,0.25,1.0
2024-03-07,0.0013732555000046,225257921.81038857,0.0066571539051863,470360071.85755074,11198.39,2262.25,0.0104433506426711,0.0009778587989592,0.25,1.0
2024-03-08,0.0021956221816868,225752503.1001161,-0.0036502875234575,468643122.3557165,11126.07,2263.52,-0.0064580712048785,0.0005613879986738,0.25,1.0
2024-03-11,0.0004359898116065,225850928.8914124,-0.0009882568549929,468179982.5775032,11113.61,2261.73,-0.0011198922890112,-0.0007908037039654,0.25,1.0
2024-03-12,-0.0027957851334325,225219498.2220458,0.0053874374494256,470702272.9487127,11238.46,2254.08,0.0112339734793642,-0.0033823665954823,0.25,1.0
2024-03-13,0.0018613842119405,225638718.2402575,-0.0018182213911801,469846432.00716025,11217.3,2250.2,-0.0018828202440547,-0.0017213231118683,0.25,1.0
2024-03-14,-0.0014049788218412,225321700.6197425,-0.0038488210620657,468038077.16371465,11187.85,2237.41,-0.0026254089665069,-0.0056839392054039,0.25,1.0
2024-03-15,-0.0007272718863744,225157830.48149168,-0.0042542854523792,466046909.5808775,11115.69,2235.26,-0.0064498540827773,-0.0009609325067821,0.25,1.0
2024-03-18,0.0005171853982095,225274278.82370925,0.0034680669346307,467663191.45798177,11186.04,2233.42,0.006328891863663,-0.0008231704589175,0.25,1.0
2024-03-19,-0.0003205484271139,225202067.5079631,0.0041917601439052,469623523.38470685,11249.23,2237.9,0.0056490053674043,0.0020058923086567,0.25,1.0
2024-03-20,0.002479797863257,225760523.1137704,0.0060746351255087,472476314.9356248,11350.89,2241.55,0.0090370629811995,0.0016309933419724,0.5,2.0
