Dates,ret_100pct_60_40,ret_static_mv,ret_dynamic_mv,nav_100pct_60_40,nav_static_mv,nav_dynamic_mv,w_T_tan,w_T_mv
2002-10-02,-0.0137834720232353,-0.004102403971623718,-0.0120524330694674,86910604.54132874,95735383.89119735,88463109.5648146,0.1,0.1
2002-10-03,-0.0064167542067902,-0.006378470828665253,-0.00640990888575095,86352920.55402349,95124738.53777629,87896069.09275393,0.1,0.1
2002-10-04,-0.0134232904110798,-0.005847563220721913,-0.01206870031836321,85193780.22358193,94568490.615322,86835277.77571136,0.1,0.1
2002-10-07,-0.0105450136048559,-0.0033593499138089697,-0.00926016944390537,84295410.65207516,94250801.96452437,86031168.38979967,0.1,0.1
2002-10-08,0.0100642120541345,0.0024602386246384213,0.00870457134716905,85143777.54006799,94482681.42792064,86780032.83312899,0.1,0.1
2002-10-09,-0.0148196282563509,-0.005619153118197657,-0.01317452249194455,83881978.40858275,93951768.77395928,85636747.33871725,0.1,0.1
2002-10-10,0.0198089666303174,0.005805933413675348,0.01730513173940595,85543593.71976337,94497246.4875579,87118702.53314799,0.1,0.1
2002-10-11,0.0207833978485813,0.01138562500307902,0.019103013950079673,87321480.26143862,95573156.69988877,88782932.32295154,0.1,0.1
2002-10-14,0.0043970049386648,0.0032407856302338993,0.00419026528439088,87705433.24139969,95882888.81275786,89154956.36211082,0.1,0.1
2002-10-15,0.0242887410439574,0.010419588494528733,0.02180884490121581,89835687.79754813,96881949.05785346,91099322.97758676,0.1,0.1
2002-10-16,-0.0150240386562695,-0.006059206654517871,-0.01342106744211366,88485992.95136522,96294921.30741945,89876672.81997366,0.1,0.1
2002-10-17,0.0115509878625125,0.0048141424505144526,0.010346395376279549,89508093.5819488,96758498.77585442,90806572.41207363,0.1,0.1
2002-10-18,0.0034542031714359,0.0014176324827920043,0.00309005087177743,89817272.72266875,96895666.76670526,91087169.34031868,0.1,0.1
2002-10-21,0.0090133960697759,0.002653655710117994,0.007876232459342951,90626831.37562524,97152794.5061064,91804593.06010656,0.1,0.1
2002-10-22,-0.0068335046114343,-0.0032996486996739716,-0.00620162781771196,90007532.50550023,96832224.41404465,91235255.14199127,0.1,0.1
2002-10-23,0.0041379714382206,0.0022144357967573813,0.0037940305520929103,90379981.1042327,97046653.15806675,91581404.48742798,0.1,0.1
